address	distance	customers	trucks	truck_capacity	algorithm	total_distance
1400 Washington Ave, Albany, NY 12222	10000	62	4	25	aco	226.2434318808767
1400 Washington Ave, Albany, NY 12222	10000	45	4	25	nn	241.97823255016323
1400 Washington Ave, Albany, NY 12222	10000	50	4	25	ga	203.79772997117158
1400 Washington Ave, Albany, NY 12222	10000	29	4	25	nn	184.8640849083759
1400 Washington Ave, Albany, NY 12222	10000	88	4	25	sa	313.72491460161353
1400 Washington Ave, Albany, NY 12222	10000	29	4	25	ga	149.96805609507993
1400 Washington Ave, Albany, NY 12222	10000	59	4	25	aco	213.61344760948734
1400 Washington Ave, Albany, NY 12222	10000	52	4	25	ga	238.77050582619492
1400 Washington Ave, Albany, NY 12222	10000	67	4	25	sa	279.53766088551
1400 Washington Ave, Albany, NY 12222	10000	3	4	25	sa	35.97724966994024
1400 Washington Ave, Albany, NY 12222	10000	7	4	25	ga	52.94391509240258
1400 Washington Ave, Albany, NY 12222	10000	100	4	25	nn	383.72903424491255
1400 Washington Ave, Albany, NY 12222	10000	6	4	25	nn	71.19052558382124
1400 Washington Ave, Albany, NY 12222	10000	41	4	25	sa	202.2654891013744
1400 Washington Ave, Albany, NY 12222	10000	65	4	25	aco	262.0830198827426
1400 Washington Ave, Albany, NY 12222	10000	42	4	25	ga	226.645748259862
1400 Washington Ave, Albany, NY 12222	10000	22	4	25	sa	128.85224356491216
1400 Washington Ave, Albany, NY 12222	10000	26	4	25	ga	170.24712599724077
1400 Washington Ave, Albany, NY 12222	10000	31	4	25	sa	206.5250210367597
1400 Washington Ave, Albany, NY 12222	10000	21	4	25	ga	147.31212102485367
1400 Washington Ave, Albany, NY 12222	10000	80	4	25	nn	292.27220194513905
1400 Washington Ave, Albany, NY 12222	10000	65	4	25	aco	237.09073496697172
1400 Washington Ave, Albany, NY 12222	10000	49	4	25	sa	237.49609834477516
1400 Washington Ave, Albany, NY 12222	10000	61	4	25	nn	263.7782644293313
1400 Washington Ave, Albany, NY 12222	10000	85	4	25	ga	367.4970191354854
1400 Washington Ave, Albany, NY 12222	10000	50	4	25	aco	206.94519761244476
1400 Washington Ave, Albany, NY 12222	10000	38	4	25	nn	196.14006868446896
1400 Washington Ave, Albany, NY 12222	10000	7	4	25	aco	71.0051186284649
1400 Washington Ave, Albany, NY 12222	10000	31	4	25	ga	162.44090605242735
1400 Washington Ave, Albany, NY 12222	10000	12	4	25	nn	100.88217554985984
1400 Washington Ave, Albany, NY 12222	10000	14	4	25	nn	108.4995531469815
1400 Washington Ave, Albany, NY 12222	10000	99	4	25	sa	405.5036344342387
1400 Washington Ave, Albany, NY 12222	10000	25	4	25	ga	155.37870624041608
1400 Washington Ave, Albany, NY 12222	10000	42	4	25	aco	201.74583380361798
1400 Washington Ave, Albany, NY 12222	10000	31	4	25	nn	151.41445519267927
1400 Washington Ave, Albany, NY 12222	10000	23	4	25	sa	134.7544165537877
1400 Washington Ave, Albany, NY 12222	10000	3	4	25	nn	49.6723104452901
1400 Washington Ave, Albany, NY 12222	10000	4	4	25	aco	58.96873337898503
1400 Washington Ave, Albany, NY 12222	10000	61	4	25	nn	284.05181619946774
1400 Washington Ave, Albany, NY 12222	10000	88	4	25	ga	328.36232097538414
1400 Washington Ave, Albany, NY 12222	10000	61	4	25	aco	213.84651430270344
1400 Washington Ave, Albany, NY 12222	10000	88	4	25	sa	366.38717654073565
1400 Washington Ave, Albany, NY 12222	10000	26	4	25	aco	156.36926942503914
1400 Washington Ave, Albany, NY 12222	10000	52	4	25	ga	269.7833882564354
1400 Washington Ave, Albany, NY 12222	10000	82	4	25	nn	355.3795427369948
1400 Washington Ave, Albany, NY 12222	10000	6	4	25	nn	58.381652663386134
1400 Washington Ave, Albany, NY 12222	10000	69	4	25	sa	276.54398795681135
1400 Washington Ave, Albany, NY 12222	10000	36	4	25	aco	156.20244431102546
